DeepSeek-R1-Distill-Qwen-32B-Q4_K_M.gguf,bartowski/DeepSeek-R1-Distill-Qwen-32B-GGUF:Q4_K_M,32768,32768
Qwen3-32B-Uncensored.Q4_K_M.gguf,mradermacher/Qwen3-32B-Uncensored-GGUF:Q4_K_M,32768,32768
Qwen_Qwen3-4B-Instruct-2507-Q6_K_L.gguf,bartowski/Qwen_Qwen3-4B-Instruct-2507-GGUF:Q6_K_L,262144,131072
Qwen3-4B-Thinking-2507.Q6_K.gguf,prithivMLmods/Qwen3-4B-Thinking-2507-GGUF:Q6_K,262144,131072
Hermes-4-70B-Q4_K_M.gguf,unsloth/Hermes-4-70B-GGUF:Q4_K_M,131072,65536
DeepSeek-R1-Distill-Llama-70B-Uncensored-v2-Unbiased.i1-Q4_K_M.gguf,mradermacher/DeepSeek-R1-Distill-Llama-70B-Uncensored-v2-Unbiased-i1-GGUF:Q4_K_M,131072,65536
OpenThinker2-32B-Uncensored.Q4_K_M.gguf,mradermacher/OpenThinker2-32B-Uncensored-GGUF:Q4_K_M,131072,65536
L3.1-MOE-4X8B-Dark-Reasoning-Dark-Planet-Hermes-R1-Uncensored-e32-25B.Q6_K.gguf,mradermacher/L3.1-MOE-4X8B-Dark-Reasoning-Dark-Planet-Hermes-R1-Uncensored-e32-25B-GGUF:Q6_K,131072,65536
L3.1-4x8b_BlackTower_RP-V1.1-Uncensored.i1-Q4_K_M.gguf,mradermacher/L3.1-4x8b_BlackTower_RP-V1.1-Uncensored-i1-GGUF:Q4_K_M,131072,65536
amoral-gemma3-27B-v2-qat.Q5_K_M.gguf,mradermacher/amoral-gemma3-27B-v2-qat-GGUF:Q5_K_M,131072,65536
OpenAi-GPT-oss-36B-BrainStorm20x-uncensored.i1-Q5_K_M.gguf,mradermacher/OpenAi-GPT-oss-36B-BrainStorm20x-uncensored-i1-GGUF:Q5_K_M,131072,131072
